x,y,date_single
351506.42198980076,566809.0316027015,14/02/2014
353708.9102746585,582233.4875274689,14/02/2014
355350.2998738516,581843.9686985228,14/02/2014
349190.5682737811,584452.4205410193,14/02/2014
357231.8264842175,564529.4511689463,14/02/2014
351568.25977674307,585047.4141730149,14/02/2014
357281.188972485,573836.779532666,14/02/2014
360027.70516632765,562070.9581915559,14/02/2014
347644.90133665287,569969.8028230156,15/02/2014
354323.964861104,585330.8531320182,15/02/2014
354688.87822233257,592500.0245425049,15/02/2014
355870.24328621104,566344.5171105947,15/02/2014
354172.8460380757,580843.3353721015,15/02/2014
359168.2375266809,561589.0768962398,15/02/2014
359141.9783557947,568939.6492963568,15/02/2014
354721.7588158,567724.9442908226,15/02/2014
353889.9925438754,579443.6364393493,15/02/2014
355373.7357744954,593741.1940508318,15/02/2014
354721.7650454772,581162.4334755618,15/02/2014
356212.878333375,568572.3455319025,15/02/2014
350809.0398416505,576920.4856968903,15/02/2014
356325.62987520284,557475.6917921597,15/02/2014
354723.2586744947,581162.4449571398,15/02/2014
365917.3600825922,559714.846875125,15/02/2014
360498.0506513801,564732.482291184,15/02/2014
356933.1328467916,582532.4671428527,16/02/2014
355367.04320992617,569953.0572993677,16/02/2014
358995.66496844194,555881.93683868,16/02/2014
358232.4287284451,568670.1546625135,16/02/2014
358715.8547584363,558525.5070036277,16/02/2014
359041.36351041385,571095.4526455223,16/02/2014
353569.5866564075,580824.1087213701,16/02/2014
358159.92684864474,567087.6408463037,16/02/2014
357803.9166903913,557362.3858052092,16/02/2014
351154.36899419466,590060.4003655753,16/02/2014
357200.68007971713,554385.3703629207,16/02/2014
355508.42293821677,586067.5563643939,16/02/2014
357078.79333643935,565236.5458932404,16/02/2014
349298.1312492014,591252.2218219119,16/02/2014
345012.0791388037,590175.4122499381,16/02/2014
354253.3024986907,580892.3770531309,16/02/2014
354939.4029348556,584132.0672119928,17/02/2014
351965.44251002773,582959.5278480289,17/02/2014
347925.64371780585,578663.9215883003,17/02/2014
354786.0398527718,592503.1069458855,17/02/2014
355669.9809185065,569965.8524950177,17/02/2014
353612.00436016923,592122.6928788103,17/02/2014
353095.983557401,567910.283967221,17/02/2014
354964.4226612642,580827.7427261968,17/02/2014
348063.1092662892,580054.1604329376,17/02/2014
352888.0799787473,592735.4049628288,17/02/2014
360563.9185116877,564468.1264339491,17/02/2014
353219.7346337007,594168.8997945354,17/02/2014
355334.9974021642,582072.5556802211,17/02/2014
348979.61629842536,589063.4839800958,17/02/2014
348554.14299560856,583649.529462104,17/02/2014
358154.4543056549,560204.576404889,17/02/2014
351834.6703327339,582632.456337389,17/02/2014
355213.3923944236,580366.9267138154,17/02/2014
357623.7395584443,582935.4597437418,17/02/2014
360358.74800562643,568297.0331402292,17/02/2014
361280.74409248255,567955.4348089404,17/02/2014
355392.6725865925,581282.4750226069,17/02/2014
351469.2418441495,567515.2967966618,17/02/2014
349850.4458324451,564129.2376454008,17/02/2014
361485.9146275661,564087.7818798723,17/02/2014
349334.3935474136,564526.9635338256,17/02/2014
349964.727199757,586665.3318853466,18/02/2014
349993.0578529091,569642.1902341908,18/02/2014
357133.0627588867,584477.4728886945,18/02/2014
354102.4115077642,593482.7872101464,18/02/2014
354308.73623518227,585847.7983706818,18/02/2014
357102.84369370044,584470.4544645848,18/02/2014
358067.22676387493,560071.4698893133,18/02/2014
355050.99290515773,593731.4608685338,18/02/2014
347777.52052867354,583713.0258816293,18/02/2014
350925.45691118663,566994.9156901867,18/02/2014
350925.45691118663,566994.9156901867,18/02/2014
353753.1183166399,582598.0391702714,18/02/2014
354790.3309449961,568920.400137107,18/02/2014
353276.3806145421,571011.0205368872,18/02/2014
357180.62315082346,559282.6104567085,18/02/2014
350473.7329661026,567015.7045186103,18/02/2014
360259.95486983337,559347.8223250259,18/02/2014
354039.64126740565,581281.8497225642,18/02/2014
347135.3015065749,580443.3818733034,18/02/2014
351084.6019579207,566797.1200594981,18/02/2014
346413.2292808112,588153.6458880787,18/02/2014
359475.11994229123,574878.9617324997,18/02/2014
354039.64126740565,581281.8497225642,18/02/2014
349953.4406015267,585203.4983031946,18/02/2014
357974.5810632603,565262.1866775681,18/02/2014
360341.9698354313,561608.1986730747,18/02/2014
356464.3299229725,574858.4917818942,18/02/2014
357511.03546617174,582252.4242822939,18/02/2014
364191.2898647377,565337.8106001511,18/02/2014
353699.4360346225,578923.3644720551,18/02/2014
345665.1986649076,586015.1626594128,19/02/2014
345865.7683353304,583254.5901058405,19/02/2014
355253.6319529885,591921.2415392563,19/02/2014
351291.8568718212,582190.2197983224,19/02/2014
353433.96290596115,591350.3609926992,19/02/2014
360079.2898546965,558229.4620215001,19/02/2014
350219.8236222002,583595.3378067625,19/02/2014
351526.2738359612,566708.0985886946,19/02/2014
348902.51612222625,583545.6173034157,19/02/2014
353196.8525168372,592537.2190708842,19/02/2014
353718.0367687805,588621.4501148572,19/02/2014
349610.8456505665,583572.7371239789,19/02/2014
349004.0374007175,589092.0878909412,19/02/2014
349992.78680911683,577092.4327421049,19/02/2014
346762.2332642039,568942.9978196926,19/02/2014
357539.05436693726,560920.250730023,19/02/2014
352228.7905064233,563282.8341007292,19/02/2014
348709.587137963,583178.6353691458,19/02/2014
351145.8210396571,566596.6275821255,19/02/2014
349004.0374007175,589092.0878909412,19/02/2014
354777.8864908776,572991.0609334345,19/02/2014
358709.7504528832,555466.513199487,20/02/2014
350676.1622351566,567032.4642470229,20/02/2014
351265.92903271946,589658.1082787607,20/02/2014
360099.67681160505,559541.4108595633,20/02/2014
356475.8729047085,573704.5119321662,20/02/2014
351998.7099763706,585240.0447192186,20/02/2014
351663.40674363833,589879.3662266826,20/02/2014
348251.4492438394,580393.654810581,20/02/2014
358442.74244798435,562838.1415158146,20/02/2014
360381.9170920549,564931.7689646942,20/02/2014
355646.79696833424,590621.5919925113,20/02/2014
