x,y,date_single
357411.00477702,565378.046252644,17/12/2015
355360.34843013226,566524.0455995674,17/12/2015
350719.1440134139,587429.1026685592,17/12/2015
351898.97141521645,576230.1242368711,17/12/2015
359787.8849856198,570836.4150340861,17/12/2015
360678.815579627,553864.1144576056,17/12/2015
363612.53036195645,561252.1777535097,17/12/2015
349957.76747773547,585000.8160932175,17/12/2015
363231.8212826424,567163.2380564186,17/12/2015
354549.2915643083,570299.3151135196,17/12/2015
356791.33960997884,562302.9198294455,17/12/2015
355661.15767533414,578251.3075852491,17/12/2015
354684.2442174729,569878.3769654816,17/12/2015
359516.56959117437,568478.4653878863,17/12/2015
351485.0704216047,582297.1365193666,17/12/2015
351569.20498717256,572773.1099957407,17/12/2015
358199.8563465834,566206.7020526489,17/12/2015
355404.544385088,564929.5961791225,17/12/2015
360517.83733848593,564123.7386381491,17/12/2015
360159.70903974056,568288.579568278,17/12/2015
363773.729085936,565911.4483866837,17/12/2015
362371.9606608221,565075.6869212242,17/12/2015
345707.60176674544,589232.2739759067,17/12/2015
355990.3427074852,564397.116347974,17/12/2015
359200.5469833169,565238.1259717874,17/12/2015
360025.28925925115,558573.8926494826,17/12/2015
358151.35230117035,571593.20871846,17/12/2015
358389.46196009114,565370.9698735891,17/12/2015
355187.21247407206,569163.5957996957,17/12/2015
359026.73953992967,566807.8380182629,17/12/2015
350895.92185078165,580773.8367124936,17/12/2015
356100.9732402132,583329.8302441995,17/12/2015
364746.6773751137,565543.5296293723,17/12/2015
356451.48486901476,586160.180054437,17/12/2015
348169.1456934958,569394.9651477204,17/12/2015
353033.5136343115,590125.3968066989,17/12/2015
347300.44513499876,579694.8393665515,17/12/2015
365126.0995767643,564976.5975037207,17/12/2015
356560.04957498034,566941.62935699,18/12/2015
359532.137586545,561778.3628727309,18/12/2015
359532.71134821826,561749.3773691133,18/12/2015
359532.17081947933,561774.3644905972,18/12/2015
365126.0995767643,564976.5975037207,18/12/2015
365126.0995767643,564976.5975037207,18/12/2015
359177.68909339525,562660.6839459599,18/12/2015
350561.5318757423,564298.389987932,18/12/2015
359558.30365601054,560792.9118220694,18/12/2015
350487.2005059803,588415.1387350346,18/12/2015
358491.5368884551,574646.1219533406,18/12/2015
355205.5273785933,586116.0705886409,18/12/2015
351257.1056965913,567915.1893635123,18/12/2015
363902.0405035742,564758.0717339242,18/12/2015
360057.91041856026,568293.3883381133,18/12/2015
351420.49632819486,580163.5837153399,18/12/2015
355209.13022356504,564708.383010767,18/12/2015
359158.72044826497,566866.0209856556,18/12/2015
364016.33662546,564106.0794882477,18/12/2015
356858.4589556244,585427.758876708,18/12/2015
360022.5908789368,566944.974134138,18/12/2015
355869.60987382865,586653.4302538327,18/12/2015
352016.6733540951,586366.5982731617,18/12/2015
348959.4915349271,589205.1890878133,18/12/2015
346784.77917052037,589866.3104214343,18/12/2015
357720.97888740984,555065.4082894566,18/12/2015
355209.7397905042,564694.0592771757,18/12/2015
346818.900183931,590033.5929375491,18/12/2015
345305.556105639,589225.5875732033,18/12/2015
344431.3581639427,586876.8329130482,18/12/2015
357678.61360475473,563110.8509107007,18/12/2015
344337.1718459723,586689.9728470757,18/12/2015
347909.78647205053,587890.5590288222,18/12/2015
344439.63082750246,586641.1847287671,18/12/2015
352522.0430508523,582419.4555009904,18/12/2015
352283.968332864,567945.2848270849,19/12/2015
355627.93882014696,564128.2699379886,19/12/2015
346856.0542417384,569149.8727641781,19/12/2015
363947.7999803529,564412.368727566,19/12/2015
349980.3030806793,578517.0929555803,19/12/2015
350945.6314347727,581481.1842784882,19/12/2015
349932.14605231484,568224.5896815638,19/12/2015
355442.908352692,563477.2789874213,19/12/2015
363949.2971388678,564412.3821055557,19/12/2015
356979.11277911445,566379.9228929073,19/12/2015
346721.70198660187,584899.6189567357,19/12/2015
347088.9359548987,586855.1818127033,19/12/2015
354727.8745920225,567512.5074278989,19/12/2015
349985.15327893815,578618.5377787545,19/12/2015
347311.12672090135,586671.9398348136,19/12/2015
356249.43131302064,577230.4760510173,19/12/2015
346828.6128141475,588271.5572466968,19/12/2015
351563.74169057125,575333.4339092864,19/12/2015
364756.71923633636,562410.5049799301,19/12/2015
347102.36438006157,581432.722091555,19/12/2015
353627.1904231916,591703.0456335327,19/12/2015
347396.21446195827,578249.4074002816,19/12/2015
353430.357590479,578375.6290590462,19/12/2015
346200.46335324395,582276.7489862887,19/12/2015
346837.51243517204,587550.4049230627,19/12/2015
357486.3393175498,566383.8707510551,19/12/2015
361869.0350648487,564678.2258101819,19/12/2015
359283.08619893814,576507.5179580866,19/12/2015
359569.0080003401,560386.2491284357,19/12/2015
350270.4899589028,574482.0402906991,19/12/2015
352256.5463811905,568887.2057875148,19/12/2015
353432.73634461855,578191.2622645866,19/12/2015
354913.51470801985,582660.7717433581,19/12/2015
360197.19711098436,570903.721700558,19/12/2015
346690.2585148123,586946.2983524161,20/12/2015
343872.4009206698,585430.5061845805,20/12/2015
348472.7516289134,579813.6846385895,20/12/2015
358147.1002657574,564389.2122762467,20/12/2015
351840.80951488944,591610.3484966549,20/12/2015
359404.6979351305,558932.3778272244,20/12/2015
351431.1266149868,577310.9303391081,20/12/2015
349845.2926924403,586267.8421252475,20/12/2015
362574.0544269722,565115.8835195778,20/12/2015
358903.3489150043,555674.0280684178,20/12/2015
351888.06042444496,568438.7849421178,20/12/2015
353929.2665997023,577972.4083103047,20/12/2015
362710.59682685725,565735.8802116202,20/12/2015
352603.1325114666,569368.4742192727,20/12/2015
350325.61782600195,575180.0827738082,20/12/2015
363888.9316312154,559502.9862093636,20/12/2015
